                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1153,                0.75737,                 1.0438,                0.77032,                0.62466,                 0.7087,                0.40881,                 1.5584,                 1.1682,                 1.3096,             0.00068102,             0.00068102,             0.00068102
                     79,                 1.1359,                0.74418,                 1.0516,                0.74562,                0.69538,                0.72492,                0.43307,                  1.502,                 1.1274,                 1.2746,             0.00067802,             0.00067802,             0.00067802
                     80,                 1.1198,                 0.7565,                 1.0446,                0.74404,                0.71817,                0.74456,                0.44708,                 1.4868,                 1.0781,                 1.2718,             0.00067502,             0.00067502,             0.00067502
                     81,                 1.0906,                0.73799,                  1.032,                0.80451,                0.66755,                0.74343,                0.45451,                 1.5099,                 1.1218,                 1.2797,             0.00067202,             0.00067202,             0.00067202
                     82,                 1.1049,                0.73291,                 1.0294,                0.77462,                0.69033,                0.75247,                0.46326,                 1.4941,                 1.0632,                 1.2762,             0.00066902,             0.00066902,             0.00066902
                     83,                 1.0992,                 0.7346,                 1.0393,                0.78972,                0.68373,                0.76205,                0.46605,                 1.4906,                 1.0534,                 1.2761,             0.00066602,             0.00066602,             0.00066602
                     84,                 1.1068,                0.73554,                 1.0409,                0.80329,                0.69649,                0.76665,                0.46426,                 1.5076,                 1.0363,                 1.2745,             0.00066302,             0.00066302,             0.00066302
                     85,                 1.1147,                0.74148,                 1.0365,                0.77566,                0.68753,                0.76235,                0.45718,                 1.5059,                 1.0862,                 1.2869,             0.00066002,             0.00066002,             0.00066002
                     86,                 1.0648,                0.71198,                 1.0206,                0.80496,                0.68268,                0.76078,                0.44994,                 1.5226,                 1.0662,                 1.2908,             0.00065703,             0.00065703,             0.00065703
                     87,                 1.0782,                0.70994,                 1.0264,                0.79598,                0.67263,                0.75397,                0.44255,                 1.5338,                 1.0726,                 1.2995,             0.00065403,             0.00065403,             0.00065403
                     88,                  1.066,                0.71032,                 1.0254,                0.77985,                0.70283,                0.76271,                0.45207,                 1.5226,                 1.0442,                 1.2962,             0.00065103,             0.00065103,             0.00065103
                     89,                 1.0944,                 0.7236,                 1.0273,                 0.7839,                0.66132,                0.73801,                0.43195,                 1.5166,                 1.0877,                  1.296,             0.00064803,             0.00064803,             0.00064803
                     90,                 1.0979,                0.72848,                 1.0189,                0.78682,                0.70198,                0.74885,                0.42502,                 1.5085,                 1.0734,                 1.2898,             0.00064503,             0.00064503,             0.00064503
                     91,                 1.0672,                0.70388,                 1.0283,                0.79031,                0.68161,                0.74302,                0.43023,                 1.5267,                 1.0581,                 1.2955,             0.00064203,             0.00064203,             0.00064203
                     92,                   1.06,                0.69719,                 1.0248,                0.78466,                0.68553,                0.73908,                0.44324,                 1.5408,                 1.0699,                 1.2972,             0.00063903,             0.00063903,             0.00063903
